id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,image_url,description,state,lat,long
7039730334,https://redding.craigslist.org/cto/d/redding-2001-jeep-wrangler/7039730334.html,redding,https://redding.craigslist.org,16500,2001.0,jeep,wrangler,excellent,6 cylinders,gas,109870.0,clean,automatic,,4wd,full-size,offroad,silver,https://images.craigslist.org/00f0f_4jpZ33KkIhK_600x450.jpg,"2001 Jeep Wrangler  109870 miles j Built for rock crawling / off roading 5.5 rubicon long arm lift  Slip yoke eliminator Dana 44 front & rear w/ disk brake Terra low 4:1 transfer case ARB diff covers 35â cooper discoverer tires  8,000 pound warn winch  Warn rock sliders  Warn front & back bumpers Oil pan / power steering skid plates ARB lockers front/back w/ compressor  Rock lock sway bar  Throttle body spacer  High lift jack  Rancho 9000 adjustable shocks Custom fit exhaust  Added electric fan for hot weather  CB radio  AM / FM radio USB port  Custom rack PIAA off road lights  Back bench seat Extra pair of bilstein off road shocks for all 4 4wheel disc brakes  Less than 1000 miles on it since everything has been installed All synthetic oil used  Serviced regularly",ca,40.626,-122.367
7039841369,https://delaware.craigslist.org/ctd/d/wilmington-honda-accord-lx-2010/7039841369.html,delaware,https://delaware.craigslist.org,6400,2010.0,honda,accord,excellent,4 cylinders,gas,107000.0,clean,automatic,,fwd,full-size,sedan,grey,https://images.craigslist.org/00R0R_6zpJoH2qMCZ_600x450.jpg,"HONDA ACCORD LX 2010, 4 CYL, AUTO, ABS, PWR. WIND, PWR. LOCKS, TILT WHEEL, CRUISE, 107,000 MILES, CLEAN TITLE, VERY CLEAN, $6400.00 - 302-584-0631.",de,39.7647,-75.5069
7041876115,https://watertown.craigslist.org/ctd/d/bridgeport-2013-toyota-tacoma-2013/7041876115.html,watertown,https://watertown.craigslist.org,22890,2013.0,toyota,tacoma,excellent,6 cylinders,gas,99712.0,clean,automatic,5TFMU4FN3DX010518,4wd,full-size,truck,blue,https://images.craigslist.org/00p0p_efZ7xOOIlwl_600x450.jpg,"2013 Toyota Tacoma Base V6 Limited New Tires Leather! Nautical Blue Metallic 4WD 5-Speed Automatic with Overdrive 4.0L V6 EFI DOHC 24V *New Tires Included in Purchase Price*, *Bluetooth, Hands-Free*, *USB / AUX Inputs to play music*, *Heated Front Seats*.  NIADA Certified Pre-Owned vehicles are covered NATION WIDE against failure or breakdown for ALL of the following: *Engine *Transmission *Transfer Case *Drive Axles *Steering *Electrical *Turbocharger/Supercharger *Air Conditioner* *Seals and Gaskets* Tecforce Automotive is proud and excited to announce that we are now a NIADA CERTIFIED PRE-OWNED DEALER!! The NIADA Pre-Certified Program is designed to protect you, the consumer. Our Dealership and the vehicles that we sell are held to a higher standard, through a vigorous checklist and is backed by one of the strongest insurers in the industry. Be confident that your new purchase is protected and enjoy the added benefits that this program has to offer including Towing/Roadside assistance, Rental Reimbursement, XM Radio Trial and much more!! Check out our amazing Google/Facebook reviews or better yet, stop in and find out why CNY prefers to do business with this Top-Rated Independent Dealership!! *Certified Pre-Owned available on eligible vehicles.  Our knowledgeable, skilled staff paired with our top of the line equipment will have you rolling out of here with 100% satisfaction and peace of mind. Let us know how we can help build your dream truck and contact us today! All prices and specifications are subject to change without notice. Prices may not include additional fees such as government fees and taxes, title and registration fees, finance charges, dealer document preparation fees, processing fees and emission testing and compliance charges. This vehicle may be subject to an open safety recall. Please visit www.safercar.gov to find more information pertaining to this vehicle.  Stock #3419",ny,43.155,-75.9513
7042179047,https://dayton.craigslist.org/cto/d/sidney-2014-red-toyota-prius-like-new/7042179047.html,dayton / springfield,https://dayton.craigslist.org,5000,2014.0,toyota,prius,like new,4 cylinders,gas,293000.0,clean,automatic,,fwd,mid-size,hatchback,red,https://images.craigslist.org/00B0B_bRycysgxqea_600x450.jpg,"*Update* I figured I would just cut to the chase and list my absolute bottom dollar on the car. We are Firm at $5,000 this is a 2014 Prius in near mint condition, that has $4500 in engine work done to it. If the listing is still up then it is still for-sale.  Hello, we are selling our 2nd owner 2014 Barcelona Red Metallic Toyota Prius. It's a beautiful car, The exterior of the car still looks Brand New, I would say it is 10 out of 10 condition. Always Garage kept. Low Miles only 293,000. This is considered very low miles for a Toyota Prius. They get 600k miles easily. They are Rated #1 on consumer report. Do some research and you will see how Dependable these cars are and why they are used as Taxi Cab's in big cities.   The Engine has been completely rebuilt, All new Seals, New Iridium spark plugs, new Fel-pro Head Gasket, New Head Bolts, New oil, New Antifreeze all work was done by a 30 Year Mechanic who specializes in Hybrids.  Its Loaded: Power windows/Locks, Heat, A/C, Bluetooth, Push Button Start, Auxiliary input jack, Heated door mirrors, Daytime running lights, Smart key - This feature allows you to unlock/lock and start your vehicle without even having to take your keys out of your pocket or purse. Prius takes regular gas, Fill it up and go.   I honestly wouldn't hesitate to jump in it right now and drive it to California, That's just how dependable the car has been for us. We are only selling it because our family is expanding in size and we need a SUV with 3rd row seating.. Great Gas Saver, 51 City / 48 Hwy MPG. Great dependable car. This Prius values at $7500 we have it Priced at $5,000. Call or Text  show contact info",oh,40.2874,-84.1622
7049656622,https://tulsa.craigslist.org/ctd/d/wellston-2011-ram-2500-truck-st/7049656622.html,tulsa,https://tulsa.craigslist.org,0,2011.0,ram,2500,excellent,8 cylinders,gas,145001.0,clean,automatic,3D7TT2CTXBG522211,4wd,full-size,truck,white,https://images.craigslist.org/00a0a_2DgAUeh6gzC_600x450.jpg,"2011 Ram 2500 ST - Bright White Clearcoat   Available at:  	â Phone: (539) 444-9037 ext: 0668 	TEXT 0668 followed by your message to (539) 444-9037  â Vehicle Website:  http://classifieds.usedcar.zone/r?P=13753042&U=1 â FINANCE APPLICATION:  http://classifieds.usedcar.zone/r?P=13753042&U=3     	Year: 2011 	Make: Ram 	Model: 2500 	Miles: 145001 	Exterior Color: Bright White Clearcoat 	Interior Color: dark slate medium graystone 	Series ST 	Engine: V8 	Doors: 4 	Stock #: R19440A 	VIN: 3D7TT2CTXBG522211  														 Seller Notes:  Save THOUSANDS! We have the absolute BEST prices, BEST selection, and BEST service anywhere! We make buying your next vehicle FAST, FUN, and HASSLE-FREE! Our Professional Sales Consultants are the friendliest anywhere! We have financing for everyone that is fast and EASY! We will get you the best rate available for ALL types of credit! We also have an in-house financing department for challenged credit! We LOVE trades, all trades no matter what it is! Did you know we ship nationwide??! Now customers coast to coast can take advantage of our low prices! Ask us for more details!  Bright White 2011 Ram 2500 ST 4WD 5-Speed Automatic HEMI 5.7L V8 VVT   Come see us today at Patriot CDJR on Route 66 in Chandler, OK! Or visit our digital showroom at   today!, 2011 Ram 2500 ST    Equipment & Feature List:   Chrome Appearance GroupProtection GroupQuick Order Package 26A StSt Popular Equipment Group6 SpeakersAm/Fm RadioCd PlayerMp3 DecoderRadio: Media Center 130 Cd/Mp3Sirius Satellite RadioAir ConditioningPower SteeringPower WindowsRear Folding SeatTip Start4-Wheel Disc BrakesAbs BrakesDual Front Impact AirbagsFront Anti-Roll BarLow Tire Pressure WarningOccupant Sensing AirbagOverhead AirbagDelay-Off HeadlightsFully Automatic HeadlightsSpeed ControlAnti-Spin Differential Rear AxleBlack Exterior MirrorsBlack Power Trailer Tow MirrorsExterior Mirrors W/Heating ElementExterior Mirrors W/Supplemental SignalsFront Bumper Sight ShieldsHeated Door MirrorsPower Door MirrorsRear Step BumperCarpet Floor CoveringDriver Door BinElectronically Controlled ThrottleMini Floor ConsoleRear Seat Center ArmrestTachometerTilt Steering WheelVoltmeter40/20/40 Split Bench SeatCloth 40/20/40 Bench SeatFront Center ArmrestHeavy Duty Vinyl 40/20/40 Split Bench SeatPassenger Door BinTrailer Brake Control17 X 8 Steel Chrome Clad WheelsCenter HubVariably Intermittent Wipers3.73 Rear Axle Ratio     This Ram 2500 is offered by:  Patriot CDJR Chandler      104 N Industrial Rd  Chandler, OK 74834      Phone: (539) 444-9037 ext: 0668    DISCLAIMER:   While every reasonable effort is made to ensure the accuracy of the information for this *Ram 2500*, we are not responsible for any errors or omissions contained on these pages. Please verify any information in question with Patriot CDJR Chandler at (539) 444-9037.     2011 Ram 2500 ST || 13753042 || 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 || Ram || 2500 || ST || Patriot CDJR Chandler || 4D Crew Cab || Ram 2500 || Used Cars || Chandler || Used Lot || Truck ||  Van || Minivan || SUV || Used Car || Sedan || Wholesale Pricing || Ram 2500 || 2011 Ram 2500 || Ram 2500 ST || 2500 ST || Bright White Clearcoat || 2011 *Ram 2500* ST || 4D Crew Cab || Ram 4D Crew Cab || 2500 4D Crew Cab  	   Ad managed by DetroitTrading      2500 Hard to Find 4D Crew Cab    5394449037",ok,35.72,-96.9539
7047532706,https://milwaukee.craigslist.org/cto/d/rockford-2008-nissan-altima/7047532706.html,milwaukee,https://milwaukee.craigslist.org,3500,2008.0,nissan,altima,good,4 cylinders,gas,154000.0,clean,automatic,,fwd,compact,sedan,red,https://images.craigslist.org/00N0N_1pKXw7z8nU2_600x450.jpg,I have a 2008 Nissan Altima for sale with 154xxx miles  Has cloth seats power windows  Runs and drives fine has decent tires CD player aux no mechanical issues  A/c and heater works perfect  If you interested I asking $3500 only cash please no low buyers no trades,wi,42.2166,-89.0512
7041383476,https://modesto.craigslist.org/ctd/d/turlock-2004-honda-civic-si-turlock/7041383476.html,modesto,https://modesto.craigslist.org,6995,2004.0,honda,civic,like new,4 cylinders,gas,213346.0,clean,manual,SHHEP33564U503726,fwd,compact,hatchback,black,https://images.craigslist.org/00k0k_eDqY6IjE6Ea_600x450.jpg,"Questions? Preguntas? Call/Text anytime at: 209-985-3216  âFuel Type: Gasoline âExterior Color: Black âCity MPG: 26 âInterior Color: Gray âHighway MPG: 30 âStock: 3450C âDrivetrain: FWD âTransmission: 5-Speed Manual âEngine: 2.0L I4 16V MPFI DOHC âVIN: SHHEP33564U503726 âMileage: 213,346   Bankruptcy? Matricula? Repossession? First Time Buyer? No Credit? Bad Credit? No Paystub? It is ok! We can work with everybody and can get you financed!   Se Habla Espanol! Â¿Bancarrota? Matricula Â¿RecuperaciÃ³n? Â¿Comprador por primera vez? Â¿Sin crÃ©dito? Â¿Mal credito? No hay recibo de pago? Â¡EstÃ¡ bien! Â¡Podemos trabajar con todos y podemos conseguir que te financien!  What are you waiting for? Visit us now at 1148 N. Golden State Blvd.  Or, you can check out our entire inventory from the comfort of your home at www.bestpriceturlock.com! Once you are on our website, you can click the red flashing ""Apply Now"" link on the top of the page to submit a credit application! Then call us at 1-209-668-4200 to discuss your monthly payment!  Interested in a vehicle but want to know the history first? Call us and we will email you an Autocheck and Nmvtis Report!  Best Price Auto Sales 1148 N. Golden State Blvd. Turlock CA, 95380 1-209-668-4200  At the time of sale, there will be added to the advertised total price, any applicable charges for sales tax, vehicle registration fees, the California tire fee, the fee charged by the state for the issuance of a certificate of compliance or noncompliance pursuant to a statute, finance charges, a charge to electronically register or transfer the vehicle, and a dealer document processing charge. It is the sole responsibility of the consumer to confirm/verify availability, condition, equipment, price, and promotions. All inventory listed is subject to prior sale. The published price is subject to change without notice to correct errors or omissions or in the event of inventory fluctuations. While every effort has been made to ensure display of accurate data, the vehicle listings within this web site may not reflect all accurate vehicle items. The vehicle photo displayed may be an example only. Vehicle Photos may not match exact vehicle. Accessories and color may vary. Current mileage may vary due to test drives and vehicle relocation. This ad supersedes any and all ads before the posted date. Nothing on this ad is binding on either party. Contact dealership for more details and/or questions.",ca,37.5037,-120.855
7040078498,https://binghamton.craigslist.org/cto/d/south-new-berlin-ford-mustang/7040078498.html,binghamton,https://binghamton.craigslist.org,29900,1965.0,ford,mustang,good,8 cylinders,gas,25000.0,clean,manual,5F09C310525,rwd,full-size,coupe,white,https://images.craigslist.org/00r0r_9JwddmF27ZY_600x450.jpg,One owner has been reconditioned 5 yrs ago as a driver,ny,42.5295,-75.3852
7047653156,https://albany.craigslist.org/ctd/d/cohoes-2014-chevrolet-silverado-2500hd/7047653156.html,albany,https://albany.craigslist.org,24800,2014.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,32915.0,clean,automatic,1GC0CVCG2EF135059,rwd,full-size,truck,blue,https://images.craigslist.org/00n0n_j3GlDPZrraF_600x450.jpg,"2014 Chevrolet Silverado 2500HD 2WD Reg Cab 133.7"" Work Truck - $24,800Visit us for more photos of this vehicle at http://www.aglautony.com/2014-Chevrolet-Silverado2500HD/Used-Truck/Latham-NY/12278/13161497/Craigslist/Details.aspx  Year: 2014 Make:Chevrolet Model:Silverado 2500HD Trim:2WD Reg Cab 133.7"" Work Truck Mileage:32,915 Stock #:g32 VIN:1GC0CVCG2EF135059 Trans:Automatic Color:Blue Vehicle Type:Truck State:NY Drive Train:RWD Engine:8 Cylinder Engine  Notes THIS IS A BEAUTIFUL LOW MILES 32,915ÃâÃÂ  REG CAB 2500 HD LONG BOX NO RUST WITH A FIBERGLASS TOP MATCHINGÃâÃÂ  BED LINER ,CRUISE , AC, 6 DISC CD, BLUTOOTH , AND MUCH MORE LOW MILES NO RUST AND A CLEAN TRUCK  Vehicle Options Air bags$COMMA frontal$COMMA driver and right-front passenger (Always use safety belts and child restraints. Children are safer when properly secured in a rear seat in the appropriate child restraint. See the Owner's Manual for more information.)Air cleaner$COMMA high-capacityAlternator$COMMA 125 ampsBattery$COMMA heavy-duty 600 cold-cranking amps$COMMA maintenance-free with rundown protection and retained accessory powerBrakes$COMMA 4-wheel antilock$COMMA 4-wheel discBumper$COMMA front chrome includes chrome bumper end capsBumper$COMMA rear chrome$COMMA step-style with pad (Not available with (ZW9) pickup box delete.)Coat hooks$COMMA rear driver and passenger sideCooling$COMMA auxiliary external transmission oil cooler heavy-duty air-to-oilCooling$COMMA external engine oil cooler heavy-duty air-to-oil$COMMA integral to driver side of radiator tankCruise control$COMMA electronic with set and resume speed$COMMA located on steering wheelDaytime Running Lamps with automatic exterior lamp controlDoor handles$COMMA BlackDriver Information Center with odometer$COMMA trip odometer and message center (monitors numerous systems depending on vehicle equipment level including low fuel$COMMA turn signal ""on""$COMMA transmission temperature and oil change notification) (Driver Information Center controls are operated through the trip odometer button unless (UK3) steering wheel mounted audio controls is ordered. On 1LT and 1LZ$COMMA includes 8-point compass and outside temperature.)Engine$COMMA Vortec 6.0L Variable Valve Timing V8 SFI E85-compatible$COMMA FlexFuel capable of running on unleaded or up to 85% ethanol (360 hp [268.4 kW] @ 5400 rpm$COMMA 380 lb-ft of torque [513.0 N-m] @ 4200 rpm) with (E63) fleetside pickup box; (322 hp [240.1 kW] @ 4400 rpm$COMMA 380 lb-ft of torque [513.0 N-m] @ 4200 rpm) with (ZW9) pickup box delete (Does not include E85 capability with (ZW9) pickup box delete.)Exhaust aluminized stainless-steel muffler and tailpipeFrame$COMMA fully-boxed$COMMA hydroformed front sectionGrille$COMMA chrome surroundHeadlamps$COMMA dual halogen composite with automatic exterior lamp control and flash-to-pass featureInstrumentation$COMMA analog with speedometer$COMMA fuel level$COMMA engine temperature$COMMA tachometer$COMMA voltmeter and oil pressure indicatorsLamps$COMMA dual cargo area lampsLighting$COMMA interior with dome and reading lights$COMMA illuminated entry feature and backlit instrument panel switchesMirror$COMMA inside rearview manual day/nightPickup box$COMMA FleetsideRear axle$COMMA 4.10 ratio (Requires (L96) Vortec 6.0L V8 SFI engine or (LC8) 6.0L V8 SFI Gaseous CNG (Compressed Natural Gas) engine.)Rear wheel driveRecovery hooks$COMMA front$COMMA BlackSpare tire lock keyed cylinder lock that utilizes same key as ignition and door (Not included when (ZW9) pickup box delete or (VF7) rear bumper delete is ordered.)StabiliTrak$COMMA stability control system with Proactive Roll Avoidance and traction control$COMMA includes electronic trailer sway control and hill start assistSteering column$COMMA Tilt-Wheel$COMMA adjustable with brake/transmission shift interlockSteering wheel includes theft-deterrent locking featureSteering$COMMA power$COMMA recirculating ballSuspension Package$COMMA Handling/Trailering$COMMA heavy-duty includes 35mm twin tube shock absorbers and 36mm front stabilizer barSuspension$COMMA front independent$COMMA torsion barSuspension$COMMA rear 4+1 multi-leaf springsTire carrier$COMMA outside spare$COMMA winch-type mounted under frame at rear (Orders with (ZW9) Pickup box delete will not include a Spare Tire Carrier unless a spare tire is ordered)Tire Pressure Monitor System (does not apply to spare tire)Warning tones headlamp on$COMMA key-in-ignition$COMMA driver and passenger buckle up reminder and turn signal onWipers$COMMA front intermittent wet-arm with pulse washersWheels$COMMA 17"" (43.2 cm) steel (Includes 17"" x 7.5"" (43.2 cm x 19.1 cm) steel spare wheel.  AGL Auto Exports LLC Ken 1338 New Loudon Rd. Cohoes NY 12047 518-858-2298BatchID: TO5I6UG9SIID: 13161497",ny,42.7778,-73.749
7047861947,https://stlouis.craigslist.org/ctd/d/east-saint-louis-2017-gmc-sierra-1500/7047861947.html,"st louis, MO",https://stlouis.craigslist.org,20990,2017.0,gmc,sierra 1500,good,8 cylinders,gas,9436.0,clean,automatic,1GTN1LEC4HZ903962,rwd,full-size,pickup,white,https://images.craigslist.org/00202_j8bH40LksZg_600x450.jpg,"Check out this LOW MILEAGE 2017 GMC Sierra 1500. Equipped with a 5.3L V8, Automatic, AC, Tilt, Cruise, Power Windows, Power Locks, Power Mirrors, 8' Bed with Bedliner, and Tow Package. Only 9k Miles!!! Come take it for a test drive...  SLD Enterprises LLC 1945 Goose Lake Rd Sauget, IL. 62206  www.SLDTRUCKS.com  Bumper Detail - Rear Step Pickup Bed Light Pickup Bed Type - Wideside Tailgate - Removable Tailgate Protection Cap Active Grille Shutters Door Handle Color - Black Exhaust Tip Color - Chrome Front Bumper Color - Chrome Grille Color - Black Grille Color - Chrome Surround Mirror Color - Black Window Trim - Black Steering Ratio - 18.4 Turns Lock-To-Lock - 3.5 Air Filtration Floor Material - Rubber/Vinyl Front Air Conditioning Zones - Single Ambient Lighting Assist Handle - Front Capless Fuel Filler System Cruise Control Cupholders - Front Power Outlet(S) - 12v Front Power Steering Reading Lights - Front Rearview Mirror - Manual Day/Night Retained Accessory Power Steering Wheel - Tilt Steering Wheel Mounted Controls - Cruise Control Storage - Door Pockets Sun Visors Front Brake Type - Ventilated Disc Front Shock Type - Twin-Tube Gas Front Spring Type - Coil Front Struts Front Suspension Type - Upper And Lower Control Arms Rear Brake Type - Ventilated Disc Rear Shock Type - Twin-Tube Gas Rear Spring Type - Leaf Trailer Stability Control Abs - 4-Wheel Axle Ratio - 3.23 Braking Assist Electronic Brakeforce Distribution Front Brake Diameter - 13.0 Front Brake Width - 1.18 Front Stabilizer Bar - Diameter 34 Mm Front Suspension Classification - Independent Rear Brake Diameter - 13.6 Rear Brake Width - 0.79 Rear Suspension Classification - Solid Live Axle Rear Suspension Type - Multi-Leaf Roll Stability Control Stability Control Tow/Haul Mode Traction Control Alternator - 150 Amps Auxiliary Oil Cooler Battery - Heavy Duty Battery - Maintenance-Free Battery Rating - 730 Cca Cylinder Deactivation Gauge - Oil Pressure Gauge - Tachometer Infotainment - Android Auto Ready Infotainment - Apple Carplay Ready Infotainment Screen Size - 4.2 In. Total Speakers - 4 Warnings And Reminders - Maintenance Due Warnings And Reminders - Tire Fill Alert Antenna Type - Mast Clock Digital Odometer Driver Information System Fuel Economy Display - Mpg Fuel Economy Display - Range Oil Monitor Radio - Am/Fm Speed Sensitive Volume Control Trip Odometer Warnings And Reminders - Lamp Failure Low Fuel Engine Oil Coolant Warnings And Reminders - Low Battery Warnings And Reminders - Turn Off Headlights Daytime Running Lights - Led Headlights - Auto Delay Off Headlights - Auto On/Off Headlights - Hid/Xenon Spare Tire Mount Location - Underbody Spare Wheel Type - Steel Tire Type - All Season Wheels - Painted Steel Tire Pressure Monitoring System Front Wipers - Variable Intermittent Solar-Tinted Glass Airbag Deactivation - Occupant Sensing Passenger Anti-Theft System - Engine Immobilizer Front Airbags - Dual Power Door Locks - Anti-Lockout Side Airbags - Front Side Curtain Airbags - Front Side Mirror Adjustments - Manual Side Mirror Adjustments - Manual Folding Side-Curtain Airbag Rollover Sensor Driver Seat Manual Adjustments - 4 Driver Seat Manual Adjustments - Height Driver Seat Manual Adjustments - Lumbar Driver Seat Manual Adjustments - Reclining Front Headrests - 2 Front Seat Type - 40-20-40 Split Bench Front Seatbelts - 3-Point Passenger Seat Manual Adjustments - 4 Passenger Seat Manual Adjustments - Reclining Seatbelt Pretensioners - Front Seatbelt Warning Sensor - Front Upholstery - Cloth",il,38.5662,-90.1344
